,Exercise ,Difficulty Level,Target Muscle Group ,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Combination Exercises,Mechanics
,Barbell Front Rack Alternating Cossack Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Goblet Alternating Cossack Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Dumbbell Goblet Alternating Cossack Squat,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Bodyweight Alternating Cossack Squat,Beginner,Quadriceps,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Bodyweight Knee Over Toes Split Squat ,Beginner,Quadriceps,Bodyweight,Knee Over Toes Split Stance Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Barbell Back Rack Knee Over Toes Split Squat,Intermediate,Quadriceps,Barbell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Front Rack Knee Over Toes Split Squat,Intermediate,Quadriceps,Barbell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Overhead Knee Over Toes Split Squat,Advanced,Quadriceps,Barbell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Barbell Overhead Press,Expert,Shoulders,Barbell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Single Leg Bent Knee Bicep Curl,Expert,Biceps,Barbell,Single Leg Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Slider Knee Tuck,Novice,Abdominals,Sliders,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Wall Facing Handstand,Novice,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Freestanding Handstand ,Advanced,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Suspension Atomic Push Up,Intermediate,Chest,Suspension Trainer,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Suspension Pike,Intermediate,Abdominals,Suspension Trainer,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Suspension Side Plank Reach Through,Advanced,Abdominals,Suspension Trainer,Side Plank,Single Arm,Continuous,Flat Palm,Single Exercise,Compound
,Cocoon Crunch,Intermediate,Abdominals,Bodyweight,Supine,Double Arm,Continuous,No Grip,Single Exercise,Compound
,Ab Wheel Standing Rollout,Expert,Abdominals,Ab Wheel,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Cable Fire Hydrant,Novice,Glutes,Cable,Quadruped,No Arms,Continuous,Flat Palm,Single Exercise,Isolation
,Cable Tall Kneeling Pull Through,Novice,Glutes,Cable,Tall Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Bent Knee Reverse Hyperextension,Novice,Glutes,Stability Ball,Prone,Double Arm,Continuous,Head Supported,Single Exercise,Isolation
,Bent Knee Reverse Hyperextension on Bench,Novice,Glutes,Bodyweight,Prone,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Parallette Tuck L Sit,Intermediate,Abdominals,Parallette Bars,L Sit,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Close Grip Push Up,Intermediate,Triceps,Parallette Bars,Prone,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Parallette Feet Elevated Close Grip Tricep Push Up,Intermediate,Chest,Parallette Bars,Prone,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Parallette Single Leg L Sit,Intermediate,Abdominals,Parallette Bars,L Sit,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Bottoms Up,Intermediate,Abdominals,Stability Ball,Supine,No Arms,Continuous,No Grip,Single Exercise,Compound
,Stability Ball Windshield Wiper,Novice,Abdominals,Stability Ball,Supine,No Arms,Continuous,No Grip,Single Exercise,Compound
,Stability Ball Tall Kneeling Balance,Intermediate,Abdominals,Stability Ball,Tall Kneeling,No Arms,Continuous,No Grip,Single Exercise,Compound
,Stability Ball Oblique Crunch ,Beginner,Abdominals,Stability Ball,Supine,No Arms,Continuous,Head Supported,Single Exercise,Compound
,Stability Ball Elbow Plank,Novice,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Forearm,Single Exercise,Compound
,Double Kettlebell Feet Elevated Push Up,Intermediate,Chest,Kettlebell,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Turkish Sit Up,Intermediate,Abdominals,Kettlebell,Supine,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Dumbbell Turkish Sit Up,Intermediate,Abdominals,Dumbbell,Supine,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Landmine Turkish Sit Up,Intermediate,Abdominals,Landmine,Supine,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Turkish Sit Up,Intermediate,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Dumbbell Turkish Sit Up,Intermediate,Abdominals,Dumbbell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Turkish Sit Up to Z Press,Intermediate,Abdominals,Kettlebell,Seated Floor,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Double Kettlebell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Dumbbell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Swing,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Front Rack Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Front Rack Squat,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Front Rack Contralateral Split Squat,Novice,Quadriceps,Kettlebell,Split Stance Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Front Rack Carry,Novice,Abdominals,Kettlebell,Walking,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Squat Clean,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Feet Elevated Parallette Push Up,Intermediate,Chest,Stability Ball,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Feet Elevated Parallette Plank,Novice,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Feet Elevated Single Arm Parallette Plank,Advanced,Abdominals,Stability Ball,Prone,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Feet Elevated Alternating Single Arm Parallette Plank,Expert,Abdominals,Stability Ball,Prone,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Archer Push Up,Intermediate,Chest,Bodyweight,Prone,Double Arm,Alternating,Flat Palm,Single Exercise,Compound
,Parallette Archer Push Up,Intermediate,Chest,Parallette Bars,Prone,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Parallette Wide Push Up,Novice,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Suitcase Knee Over Toes Split Squat,Novice,Quadriceps,Dumbbell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Alternating Front Raise,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Alternating,Pronated,Single Exercise,Isolation
,Barbell Front Raise,Novice,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Single Arm Cable Front Raise,Novice,Shoulders,Cable,Standing,Single Arm,Continuous,Pronated,Single Exercise,Isolation
,Cable Straight Bar Front Raise,Novice,Shoulders,Cable,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Cable Half Kneeling Pallof Press,Novice,Abdominals,Cable,Half Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Kettlebell Bottoms Up Horn Grip Standing Bicep Curl,Novice,Biceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Single Exercise,Isolation
,Single Arm Kettlebell Bottoms Up Front Rack Carry,Novice,Abdominals,Kettlebell,Walking,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack Carry,Intermediate,Abdominals,Kettlebell,Walking,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Walking Lunge,Intermediate,Quadriceps,Kettlebell,Walking,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,Intermediate,Quadriceps,Kettlebell,Walking,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Half Kneeling Contralateral Bottoms Up Overhead Press,Intermediate,Shoulders,Kettlebell,Half Kneeling,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Barbell Kneeling Rollout,Intermediate,Abdominals,Barbell,Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Close Grip Bench Press,Novice,Triceps,Barbell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Suspension Chest Press,Intermediate,Chest,Suspension Trainer,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Cable Tall Kneeling Pallof Press,Novice,Abdominals,Cable,Tall Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Single Arm Cable Bicep Curl,Novice,Biceps,Cable,Standing,Single Arm,Continuous,Supinated,Single Exercise,Isolation
,Cable Reverse Straight Bar Curl,Novice,Forearms,Cable,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Single Arm Cable Shotgun Row,Novice,Back,Cable,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Hang Power Clean,Intermediate,Glutes,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Landmine Goblet Alternating Cossack Squat,Intermediate,Quadriceps,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Landmine Low Hold Alternating Cossack Squat,Intermediate,Quadriceps,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Shoulder Stand,Expert,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Strap Handstand,Expert,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Handstand,Expert,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Pike Headstand Push Up,Intermediate,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Feet Elevated Pike Headstand Push Up,Intermediate,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Wall Headstand Push Up,Expert,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Freestanding Headstand Push Up,Expert,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Ring Bulgarian Handstand Push Up,Master,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Strap Handstand Push Up,Expert,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Freestanding Handstand Push Up,Master,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bent Arm Press Handstand,Master,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Parallette L Sit to Bent Arm Press Handstand,Master,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Chest Roll to Straight Body Press Handstand,Master,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Combo Exercise,Compound
,Ring Bent Arm Bent Body Press Handstand,Master,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Dip to Handstand,Master,Triceps,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Ring Handstand to Elbow Lever to Handstand,Master,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Ring Dip Straight Body Press to Handstand,Master,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Wall Straddle Press Handstand Eccentrics,Advanced,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Straddle Stand Press Handstand ,Expert,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Pike Stand Press Handstand,Expert,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Parallette L Sit Straddle Press Handstand,Expert,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette L Sit Pike Press Handstand,Expert,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Straight Arm L Sit Straddle Press Handstand,Master,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Ring Straight Arm Pike Press Handstand,Master,Shoulders,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Tuck L Sit,Advanced,Abdominals,Bodyweight,L Sit,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Parallette Straddle L Sit,Advanced,Abdominals,Parallette Bars,L Sit,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Turned Out L Sit,Expert,Abdominals,Gymnastic Rings,L Sit,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Ring Skin The Cat,Advanced,Shoulders,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Manna ,Grand Master,Abdominals,Bodyweight,,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Ring Tuck Back Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Advanced Tuck Back Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Straddle Back Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring 1/2 Layout Back Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring 1 Leg Out Back Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Full Back Lever,Expert,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Back Lever Pullout,Master,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring German Hang Pullout,Master,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Handstand Lower to Back Lever,Grand Master,Abdominals,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Ring Tuck Front Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Advanced Tuck Front Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Straddle Front Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring 1/2 Layout Front Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring 1 Leg Out Front Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Full Front Lever,Expert,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Front Lever Pull to Inverted Hang,Expert,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Ring Inverted Hang,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Barbell Kneeling Rollout,Expert,Abdominals,Barbell,Kneeling,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Barbell Standing Rollout,Master,Abdominals,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Circle Front Lever,Expert,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Tuck Front Lever Pull Up,Expert,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Advanced Tuck Front Lever Pull Up,Expert,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Straddle Front Lever Pull Up,Expert,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Dead Hang to Front Lever Pull Up,Master,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Ring Full Front Lever Pull Up,Master,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Row Feet Elevated,Intermediate,Back,Gymnastic Rings,Supine,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Bulgarian Row Feet Elevated,Intermediate,Back,Gymnastic Rings,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Archer Row Feet Elevated,Intermediate,Back,Gymnastic Rings,Supine,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Ring Row Feet Elevated ,Advanced,Back,Gymnastic Rings,Supine,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Ring L Sit Pull Up,Advanced,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Bulgarian Pull Up,Advanced,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Bulgarian L Sit Pull Up,Advanced,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Plank,Novice,Abdominals,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Ring Plank,Intermediate,Abdominals,Gymnastic Rings,Prone,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Push Up,Intermediate,Chest,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Ring Push Up,Expert,Chest,Gymnastic Rings,Prone,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Support Hold,Expert,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Side Plank,Advanced,Abdominals,Gymnastic Rings,Side Plank,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring L Sit Muscle Up,Expert,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,False Grip,Single Exercise,Compound
,Ring Strict Muscle Up,Expert,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,False Grip,Single Exercise,Compound
,Ring Chest Fly,Intermediate,Chest,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Single Arm Barbell Bicep Curl,Advanced,Biceps,Barbell,Standing,Single Arm,Continuous,Supinated,Single Exercise,Isolation
,Hollow Rock ,Intermediate,Abdominals,Bodyweight,Supine,Double Arm,Continuous,No Grip,Single Exercise,Compound
,Single Arm Dumbbell Power Snatch,Intermediate,Glutes,Dumbbell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Dumbbell Power Snatch,Intermediate,Glutes,Dumbbell,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Squat Snatch,Intermediate,Glutes,Dumbbell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Dumbbell Squat Snatch,Intermediate,Glutes,Dumbbell,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Cable Single Leg Romanian Deadlift,Intermediate,Hamstrings,Cable,Single Leg Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Single Leg Romanian Deadlift ,Intermediate,Hamstrings,Kettlebell,Single Leg Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Romanian Deadlift ,Beginner,Hamstrings,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Single Leg Romanian Deadlift,Intermediate,Hamstrings,Kettlebell,Single Leg Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Cable Wide Grip Lat Pulldown,Beginner,Back,Cable,Seated,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Cable Reverse Grip Lat Pulldown,Beginner,Back,Cable,Seated,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Cable Seated V Grip Lat Pulldown,Beginner,Back,Cable,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Cable Half Kneeling Face Pull,Novice,Shoulders,Cable,Half Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Landmine Half Knee Hover Shoulder Press,Expert,Shoulders,Landmine,Half Knee Hover,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Seated Good Morning,Novice,Back,Dumbbell,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bodyweight Hip Thrust,Beginner,Glutes,Bodyweight,Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Overhead Squat,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Stability Ball Dumbbell Seated Alternating Lateral Raise,Novice,Shoulders,Stability Ball,Seated,Double Arm,Alternating,Neutral,Single Exercise,Isolation
,Single Arm Dumbbell Bench Press,Novice,Chest,Dumbbell,Supine,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Dumbbell Bench Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Dumbbell Incline Bench Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Stability Ball Dumbbell W Raise,Novice,Shoulders,Stability Ball,Prone,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Ring Side Plank Reach Through,Expert,Abdominals,Gymnastic Rings,Side Plank,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Contralateral Overhead Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,Single Leg Supported,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Contralateral Overhead Knee Over Toes Split Squat,Intermediate,Quadriceps,Dumbbell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Z Press,Novice,Shoulders,Kettlebell,Seated Floor,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Clean,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Snatch,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Push Press,Novice,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Split Jerk,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Clean and Jerk,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell High Pull,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Sumo Deadlift,Beginner,Back,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Bent Over Row,Beginner,Back,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Front Rack Knee Over Toes Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Overhead Knee Over Toes Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Thruster,Novice,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Alternating Cossack Squat,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Tall Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Front Rack Walking Lunge,Novice,Quadriceps,Kettlebell,Walking,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Overhead Walking Lunge,Intermediate,Quadriceps,Kettlebell,Walking,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Alternating Sots Press,Novice,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Pronated,Single Exercise,Compound
,Double Kettlebell Shrug,Beginner,Trapezius ,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Double Kettlebell Hang Squat Clean,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Hollow Hold,Intermediate,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Hollow Hold With Flutter Kick,Intermediate,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Dead Clean to Push Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Pendlay Row,Novice,Back,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Front Rack Split Squat,Novice,Quadriceps,Kettlebell,Split Stance Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Supported,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Overhead Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
